location_name,population
53,7614893.0
17,12671821.0
06,39512223.0
04,7278717.0
25,6949503.0
55,5822434.0
48,28995881.0
31,1934408.0
49,3205958.0
41,4217737.0
12,21477737.0
36,19453561.0
44,1059361.0
13,10617423.0
33,1359711.0
37,10488084.0
34,8882190.0
08,5758736.0
24,6045680.0
32,3080156.0
47,6833174.0
15,1415872.0
18,6732219.0
21,4467673.0
27,5639632.0
40,3956971.0
42,12801989.0
45,5148714.0
11,705749.0
20,2913314.0
29,6137428.0
50,623989.0
51,8536147.0
09,3565287.0
19,3155070.0
22,4648794.0
39,11689100.0
26,9986857.0
46,884659.0
05,3017825.0
10,973764.0
28,2976149.0
35,2096829.0
38,762062.0
56,578759.0
02,731545.0
23,1344212.0
01,4903185.0
16,1792065.0
30,1068778.0
72,3193694.0
78,104914.0
66,165718.0
54,1787147.0
69,56562.0
60,55519.0
US, 342700000.0
